Time,Extension,Load
(s),(mm),(N)
"0.00000","0.11526","10.40102"
"0.10000","0.20182","14.74993"
"0.20000","0.20239","15.69538"
"0.30000","0.22798","18.16541"
"0.40000","0.25314","21.38942"
"0.50000","0.27827","23.68318"
"0.60000","0.30316","25.79378"
"0.70000","0.32835","28.13617"
"0.80000","0.35315","30.43051"
"0.90000","0.37829","32.77976"
"1.00000","0.40319","35.10310"
"1.10000","0.42814","37.48495"
"1.20000","0.45333","39.81329"
"1.30000","0.47813","42.16811"
"1.40000","0.50336","44.54908"
"1.50000","0.52821","46.84851"
"1.60000","0.55322","49.22746"
"1.70000","0.57830","51.52089"
"1.80000","0.60316","53.81278"
"1.90000","0.62833","56.28195"
"2.00000","0.65315","58.59245"
"2.10000","0.67824","60.87463"
"2.20000","0.70326","63.37382"
"2.30000","0.72816","65.56944"
"2.40000","0.75335","68.00000"
"2.50000","0.77818","70.30387"
"2.60000","0.80329","72.66176"
"2.70000","0.82820","75.00834"
"2.80000","0.85318","77.36957"
"2.90000","0.87830","79.75426"
"3.00000","0.90318","82.13637"
"3.10000","0.92835","84.36730"
"3.20000","0.95319","86.90397"
"3.30000","0.97825","89.09644"
"3.40000","1.00327","91.38084"
"3.50000","1.02815","93.85988"
"3.60000","1.05334","96.07505"
"3.70000","1.07819","98.49191"
"3.80000","1.10329","100.80186"
"3.90000","1.12820","103.09206"
"4.00000","1.15319","105.48801"
"4.10000","1.17835","107.78844"
"4.20000","1.20315","110.07084"
"4.30000","1.22835","112.38353"
"4.40000","1.25316","114.78382"
"4.50000","1.27821","116.98295"
"4.60000","1.30327","119.38258"
"4.70000","1.32814","121.69222"
"4.80000","1.35337","123.93112"
"4.90000","1.37816","126.16735"
"5.00000","1.40328","128.66212"
"5.10000","1.42825","130.77385"
"5.20000","1.45318","133.08130"
"5.30000","1.47834","135.45407"
"5.40000","1.50315","137.79776"
"5.50000","1.52831","140.09526"
"5.60000","1.55319","142.32318"
"5.70000","1.57824","144.71577"
"5.80000","1.60330","146.98326"
"5.90000","1.62815","149.23285"
"6.00000","1.65336","151.51012"
"6.10000","1.67816","153.77333"
"6.20000","1.70325","156.08875"
"6.30000","1.72828","158.38530"
"6.40000","1.75317","160.70840"
"6.50000","1.77833","162.96107"
"6.60000","1.80317","165.22246"
"6.70000","1.82833","167.52713"
"6.80000","1.85317","169.78233"
"6.90000","1.87821","172.09694"
"7.00000","1.90333","174.30394"
"7.10000","1.92813","176.60396"
"7.20000","1.95336","178.89514"
"7.30000","1.97819","181.15179"
"7.40000","2.00322","183.31863"
"7.50000","2.02823","185.78459"
"7.60000","2.05313","187.95966"
"7.70000","2.07834","190.23293"
"7.80000","2.10317","192.61165"
"7.90000","2.12835","194.74121"
"8.00000","2.15324","197.07375"
"8.10000","2.17820","199.26074"
"8.20000","2.20336","201.55383"
"8.30000","2.22813","203.80971"
"8.40000","2.25334","205.99025"
"8.50000","2.27813","208.38872"
"8.60000","2.30324","210.56866"
"8.70000","2.32825","212.83513"
"8.80000","2.35316","214.98264"
"8.90000","2.37841","217.32121"
"9.00000","2.40316","219.50899"
"9.10000","2.42831","221.88806"
"9.20000","2.45322","224.07248"
"9.30000","2.47816","226.12645"
"9.40000","2.50333","228.48615"
"9.50000","2.52814","230.86420"
"9.60000","2.55334","233.00601"
"9.70000","2.57818","235.13545"
"9.80000","2.60326","237.41394"
"9.90000","2.62830","239.64835"
"10.00000","2.65317","241.94147"
"10.10000","2.67837","244.17030"
"10.20000","2.70317","246.48196"
"10.30000","2.72824","248.60602"
"10.40000","2.75320","250.75763"
"10.50000","2.77818","253.03241"
"10.60000","2.80331","255.15565"
"10.70000","2.82817","257.44778"
"10.80000","2.85335","259.69363"
"10.90000","2.87822","261.82217"
"11.00000","2.90321","264.14450"
"11.10000","2.92831","266.16245"
"11.20000","2.95315","268.43683"
"11.30000","2.97836","270.70438"
"11.40000","3.00317","272.93768"
"11.50000","3.02825","275.15140"
"11.60000","3.05324","277.30600"
"11.70000","3.07816","279.59573"
"11.80000","3.10338","281.61996"
"11.90000","3.12814","283.89178"
"12.00000","3.15331","286.12848"
"12.10000","3.17822","288.37534"
"12.20000","3.20320","290.52008"
"12.30000","3.22831","292.68912"
"12.40000","3.25315","294.89517"
"12.50000","3.27834","297.08429"
"12.60000","3.30316","299.36838"
"12.70000","3.32826","301.51013"
"12.80000","3.35328","303.78656"
"12.90000","3.37817","305.92606"
"13.00000","3.40338","308.09482"
"13.10000","3.42815","310.24554"
"13.20000","3.45329","312.61707"
"13.30000","3.47822","314.63281"
"13.40000","3.50321","316.96744"
"13.50000","3.52832","319.17712"
"13.60000","3.55318","321.33197"
"13.70000","3.57837","323.50479"
"13.80000","3.60318","325.78915"
"13.90000","3.62822","327.91513"
"14.00000","3.65327","330.07361"
"14.10000","3.67816","332.18414"
"14.20000","3.70334","334.63467"
"14.30000","3.72819","336.68195"
"14.40000","3.75327","338.87006"
"14.50000","3.77826","341.10776"
"14.60000","3.80320","343.54306"
"14.70000","3.82833","345.57056"
"14.80000","3.85316","347.71112"
"14.90000","3.87830","350.03976"
"15.00000","3.90320","352.15005"
"15.10000","3.92819","354.30981"
"15.20000","3.95328","356.50845"
"15.30000","3.97816","358.67065"
"15.40000","4.00336","360.83377"
"15.50000","4.02818","363.03540"
"15.60000","4.05325","365.23090"
"15.70000","4.07826","367.35706"
"15.80000","4.10316","369.61722"
"15.90000","4.12839","371.69354"
"16.00000","4.15315","373.92178"
"16.10000","4.17832","376.16602"
"16.20000","4.20320","378.25940"
"16.30000","4.22818","380.46976"
"16.40000","4.25332","382.66663"
"16.50000","4.27817","384.83780"
"16.60000","4.30336","386.96725"
"16.70000","4.32817","389.20975"
"16.80000","4.35328","391.39264"
"16.90000","4.37825","393.49472"
"17.00000","4.40313","395.73550"
"17.10000","4.42834","397.88947"
"17.20000","4.45316","400.13940"
"17.30000","4.47830","402.30457"
"17.40000","4.50321","404.41467"
"17.50000","4.52822","406.61209"
"17.60000","4.55334","408.89267"
