Time,Extension,Load
(s),(mm),(N)
"0.00000","2.27793","25.70131"
"0.10000","2.30097","28.73118"
"0.20000","2.35195","35.49428"
"0.30000","2.40217","42.08786"
"0.40000","2.45232","48.58013"
"0.50000","2.50239","55.17577"
"0.60000","2.55241","61.64317"
"0.70000","2.60236","68.13641"
"0.80000","2.65232","74.65697"
"0.90000","2.70229","81.15054"
"1.00000","2.75238","87.43002"
"1.10000","2.80244","93.93499"
"1.20000","2.85244","100.35419"
"1.30000","2.90240","106.63422"
"1.40000","2.95232","113.01017"
"1.50000","3.00230","119.37317"
"1.60000","3.05235","125.75829"
"1.70000","3.10244","132.00436"
"1.80000","3.15249","138.42400"
"1.90000","3.20244","144.71574"
"2.00000","3.25229","150.99638"
"2.10000","3.30230","157.48718"
"2.20000","3.35239","163.82738"
"2.30000","3.40248","170.19580"
"2.40000","3.45253","176.53363"
"2.50000","3.50239","182.87715"
"2.60000","3.55230","189.33546"
"2.70000","3.60232","195.86221"
"2.80000","3.65235","202.41551"
"2.90000","3.70251","209.02765"
"3.00000","3.75252","215.67912"
"3.10000","3.80233","222.28656"
"3.20000","3.85227","228.96088"
"3.30000","3.90234","235.79495"
"3.40000","3.95246","242.42256"
"3.50000","4.00249","249.04172"
"3.60000","4.05243","255.89429"
"3.70000","4.10237","262.51419"
"3.80000","4.15232","269.15799"
"3.90000","4.20235","275.85501"
"4.00000","4.25238","282.44797"
"4.10000","4.30243","289.11090"
"4.20000","4.35248","295.72061"
"4.30000","4.40239","302.40326"
"4.40000","4.45233","308.85519"
"4.50000","4.50237","315.50595"
"4.60000","4.55238","322.10526"
"4.70000","4.60243","328.73959"
"4.80000","4.65246","335.51740"
"4.90000","4.70238","342.41827"
"5.00000","4.75232","348.94839"
"5.10000","4.80233","355.80237"
"5.20000","4.85238","362.50974"
"5.30000","4.90247","369.32648"
"5.40000","4.95247","375.95889"
"5.50000","5.00237","382.73022"
"5.60000","5.05233","389.26205"
"5.70000","5.10233","396.10098"
"5.80000","5.15245","402.60294"
"5.90000","5.20249","409.38174"
"6.00000","5.25239","416.05099"
"6.10000","5.30235","422.70779"
"6.20000","5.35235","429.22333"
"6.30000","5.40237","435.76831"
"6.40000","5.45242","442.31882"
"6.50000","5.50244","448.92365"
"6.60000","5.55244","455.48218"
"6.70000","5.60236","462.02127"
"6.80000","5.65233","468.70898"
"6.90000","5.70236","475.34235"
"7.00000","5.75241","481.95728"
"7.10000","5.80247","488.48889"
"7.20000","5.85241","495.08173"
"7.30000","5.90232","501.57440"
"7.40000","5.95233","508.20959"
"7.50000","6.00240","514.60168"
"7.60000","6.05245","521.18805"
"7.70000","6.10252","527.66626"
"7.80000","6.15240","534.35760"
"7.90000","6.20226","540.67834"
"8.00000","6.25232","547.37817"
"8.10000","6.30238","553.65179"
"8.20000","6.35251","560.14398"
"8.30000","6.40250","566.65778"
"8.40000","6.45234","573.09943"
"8.50000","6.50227","579.43732"
"8.60000","6.55232","586.06079"
"8.70000","6.60246","592.49652"
"8.80000","6.65250","598.81232"
"8.90000","6.70242","605.37122"
"9.00000","6.75233","611.73151"
"9.10000","6.80232","618.22791"
"9.20000","6.85235","624.74298"
"9.30000","6.90242","631.38312"
"9.40000","6.95248","637.96008"
"9.50000","7.00244","644.53455"
"9.60000","7.05232","651.24396"
"9.70000","7.10233","657.95642"
"9.80000","7.15238","664.62329"
"9.90000","7.20243","671.30591"
"10.00000","7.25246","677.86243"
"10.10000","7.30245","684.52118"
"10.20000","7.35235","691.26666"
"10.30000","7.40231","697.91058"
"10.40000","7.45233","704.50256"
"10.50000","7.50241","711.29828"
"10.60000","7.55251","717.85223"
"10.70000","7.60246","724.42163"
"10.80000","7.65233","731.15521"
"10.90000","7.70235","737.74805"
"11.00000","7.75234","744.56854"
"11.10000","7.80243","751.25458"
"11.20000","7.85250","757.88745"
"11.30000","7.90237","764.53320"
"11.40000","7.95233","770.86163"
"11.50000","8.00232","777.57642"
"11.60000","8.05239","784.05359"
"11.70000","8.10244","790.82764"
"11.80000","8.15245","797.36377"
"11.90000","8.20243","803.97949"
"12.00000","8.25236","810.55481"
"12.10000","8.30233","817.10590"
"12.20000","8.35241","823.86322"
"12.30000","8.40246","830.53772"
"12.40000","8.45247","837.01776"
"12.50000","8.50240","843.77106"
"12.60000","8.55234","850.40369"
"12.70000","8.60235","857.23193"
"12.80000","8.65235","863.85822"
"12.90000","8.70245","870.67017"
"13.00000","8.75251","877.64673"
"13.10000","8.80239","884.31055"
"13.20000","8.85230","891.24792"
"13.30000","8.90229","898.25494"
"13.40000","8.95239","905.11749"
"13.50000","9.00253","912.31958"
"13.60000","9.05244","919.38281"
"13.70000","9.10232","926.48724"
"13.80000","9.15232","933.63824"
"13.90000","9.20236","940.71606"
"14.00000","9.25244","947.76935"
"14.10000","9.30254","954.78705"
"14.20000","9.35241","961.76068"
"14.30000","9.40230","968.81482"
"14.40000","9.45235","975.90222"
"14.50000","9.50236","982.85645"
"14.60000","9.55246","989.61945"
"14.70000","9.60247","996.48590"
"14.75200","9.62832","1000.01337"
