Time,Extension,Load
(s),(mm),(N)
"0.00000","1.98803","26.96396"
"0.10000","2.01182","31.62864"
"0.20000","2.06256","39.78033"
"0.30000","2.11281","47.36064"
"0.40000","2.16292","54.79394"
"0.50000","2.21298","62.16084"
"0.60000","2.26304","69.34478"
"0.70000","2.31302","76.81499"
"0.80000","2.36296","83.88819"
"0.90000","2.41294","91.10359"
"1.00000","2.46293","98.40960"
"1.10000","2.51302","105.55802"
"1.20000","2.56305","112.68430"
"1.30000","2.61301","119.80985"
"1.40000","2.66301","126.89268"
"1.50000","2.71295","134.03236"
"1.60000","2.76294","141.18076"
"1.70000","2.81296","148.52005"
"1.80000","2.86303","155.70207"
"1.90000","2.91310","162.90755"
"2.00000","2.96299","170.17499"
"2.10000","3.01290","177.41063"
"2.20000","3.06294","184.75911"
"2.30000","3.11305","192.15741"
"2.40000","3.16312","199.49544"
"2.50000","3.21302","206.78435"
"2.60000","3.26294","214.15776"
"2.70000","3.31296","221.58060"
"2.80000","3.36293","229.16609"
"2.90000","3.41306","236.49052"
"3.00000","3.46314","243.92996"
"3.10000","3.51303","251.42499"
"3.20000","3.56294","259.02942"
"3.30000","3.61292","266.46454"
"3.40000","3.66299","274.05835"
"3.50000","3.71307","281.45227"
"3.60000","3.76307","289.27582"
"3.70000","3.81299","296.81754"
"3.80000","3.86294","304.46133"
"3.90000","3.91295","312.13443"
"4.00000","3.96302","319.89304"
"4.10000","4.01306","327.58710"
"4.20000","4.06306","335.37952"
"4.30000","4.11298","343.16614"
"4.40000","4.16293","350.90576"
"4.50000","4.21293","358.80334"
"4.60000","4.26302","366.60699"
"4.70000","4.31309","374.48547"
"4.80000","4.36311","382.48892"
"4.90000","4.41298","390.31036"
"5.00000","4.46289","398.28735"
"5.10000","4.51296","406.18536"
"5.20000","4.56305","414.13031"
"5.30000","4.61312","422.23871"
"5.40000","4.66306","430.00671"
"5.50000","4.71297","438.04068"
"5.60000","4.76294","446.06506"
"5.70000","4.81292","454.10284"
"5.80000","4.86305","462.21823"
"5.90000","4.91313","470.33170"
"6.00000","4.96299","478.37253"
"6.10000","5.01291","486.77890"
"6.20000","5.06296","494.94849"
"6.30000","5.11300","503.27570"
"6.40000","5.16304","511.61057"
"6.50000","5.21307","520.28583"
"6.60000","5.26301","529.31879"
"6.70000","5.31298","538.31592"
"6.80000","5.36293","547.40894"
"6.90000","5.41295","556.43695"
"7.00000","5.46304","565.52429"
"7.10000","5.51308","574.61469"
"7.20000","5.56306","583.81116"
"7.30000","5.61297","592.82269"
"7.40000","5.66292","601.94922"
"7.50000","5.71295","610.98334"
"7.60000","5.76303","620.03436"
"7.70000","5.81308","629.22748"
"7.80000","5.86304","638.24042"
"7.90000","5.91295","647.27759"
"8.00000","5.96292","656.43683"
"8.10000","6.01296","665.68872"
"8.20000","6.06307","674.92474"
"8.30000","6.11311","684.08533"
"8.40000","6.16302","693.23193"
"8.50000","6.21294","702.43616"
"8.60000","6.26290","711.57599"
"8.70000","6.31303","720.78754"
"8.80000","6.36309","730.02100"
"8.90000","6.41302","739.29138"
"9.00000","6.46299","748.48999"
"9.10000","6.51298","757.60126"
"9.20000","6.56292","766.89777"
"9.30000","6.61298","776.26038"
"9.40000","6.66307","785.44232"
"9.50000","6.71309","794.94257"
"9.60000","6.76301","804.10132"
"9.70000","6.81293","813.28564"
"9.80000","6.86291","822.70001"
"9.90000","6.91300","832.07312"
"10.00000","6.96307","841.55908"
"10.10000","7.01307","850.92206"
"10.20000","7.06298","860.40271"
"10.30000","7.11291","869.92902"
"10.40000","7.16297","879.50732"
"10.50000","7.21304","888.97272"
"10.60000","7.26312","898.62848"
"10.70000","7.31305","908.18237"
"10.80000","7.36291","917.78979"
"10.90000","7.41290","927.30847"
"11.00000","7.46297","936.97626"
"11.10000","7.51308","946.54132"
"11.20000","7.56312","956.25995"
"11.30000","7.61299","965.74164"
"11.40000","7.66292","975.32068"
"11.50000","7.71293","984.77545"
"11.60000","7.76303","994.37457"
"11.65900","7.79256","1000.03357"
