Break (Cursor) : Flexure stress at Break (Cursor),"769.11438",MPa
Modulus (Automatic Young's) : Modulus (Automatic Young's),"31220.30931",MPa
Specimen properties : Support span,"125.00000",mm
Specimen properties : Thickness,"4.11000",mm
Specimen properties : Width,"12.86000",mm
Specimen properties : Specimen label,"2A"

Time,Extension,Load,Flexure stress,Flexure strain (Extension)
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.21834","10.02791","8.65540","0.00034"
"0.10000","0.22354","10.35502","8.93774","0.00035"
"0.20000","0.23319","11.21986","9.68421","0.00037"
"0.30000","0.24157","11.38721","9.82865","0.00038"
"0.40000","0.24990","11.61626","10.02636","0.00039"
"0.50000","0.25824","12.31134","10.62630","0.00041"
"0.60000","0.26654","12.66831","10.93441","0.00042"
"0.70000","0.27491","13.36827","11.53857","0.00043"
"0.80000","0.28327","13.56564","11.70892","0.00045"
"0.90000","0.29149","14.15608","12.21855","0.00046"
"1.00000","0.29984","14.72184","12.70687","0.00047"
"1.10000","0.30822","14.90388","12.86400","0.00049"
"1.20000","0.31656","15.53038","13.40475","0.00050"
"1.30000","0.32490","16.09505","13.89213","0.00051"
"1.40000","0.33323","16.07288","13.87300","0.00053"
"1.50000","0.34156","17.07125","14.73472","0.00054"
"1.60000","0.34989","17.43122","15.04543","0.00055"
"1.70000","0.35819","17.91244","15.46078","0.00057"
"1.80000","0.36650","18.42372","15.90208","0.00058"
"1.90000","0.37488","18.68948","16.13147","0.00059"
"2.00000","0.38318","19.38926","16.73547","0.00060"
"2.10000","0.39153","19.90685","17.18222","0.00062"
"2.20000","0.39993","20.49715","17.69173","0.00063"
"2.30000","0.40827","21.00970","18.13412","0.00064"
"2.40000","0.41657","21.32785","18.40872","0.00066"
"2.50000","0.42484","21.76608","18.78698","0.00067"
"2.60000","0.43319","22.31616","19.26177","0.00068"
"2.70000","0.44153","22.62713","19.53018","0.00070"
"2.80000","0.44984","23.32526","20.13275","0.00071"
"2.90000","0.45818","23.74032","20.49101","0.00072"
"3.00000","0.46655","24.25305","20.93356","0.00074"
"3.10000","0.47494","24.45100","21.10441","0.00075"
"3.20000","0.48325","25.08601","21.65251","0.00076"
"3.30000","0.49154","25.58145","22.08014","0.00078"
"3.40000","0.49987","25.94205","22.39138","0.00079"
"3.50000","0.50821","26.33830","22.73340","0.00080"
"3.60000","0.51648","27.09443","23.38604","0.00082"
"3.70000","0.52486","27.65486","23.86976","0.00083"
"3.80000","0.53319","27.99117","24.16004","0.00084"
"3.90000","0.54154","28.55784","24.64916","0.00085"
"4.00000","0.54995","28.84586","24.89775","0.00087"
"4.10000","0.55824","29.53196","25.48995","0.00088"
"4.20000","0.56658","29.72658","25.65793","0.00089"
"4.30000","0.57490","29.95209","25.85258","0.00091"
"4.40000","0.58315","30.68143","26.48209","0.00092"
"4.50000","0.59147","31.28275","27.00110","0.00093"
"4.60000","0.59987","32.06855","27.67935","0.00095"
"4.70000","0.60820","32.27842","27.86050","0.00096"
"4.80000","0.61653","32.83550","28.34133","0.00097"
"4.90000","0.62488","33.06054","28.53557","0.00099"
"5.00000","0.63327","33.68526","29.07479","0.00100"
"5.10000","0.64163","34.21403","29.53119","0.00101"
"5.20000","0.64983","34.71000","29.95927","0.00103"
"5.30000","0.65814","35.19383","30.37688","0.00104"
"5.40000","0.66650","35.31353","30.48020","0.00105"
"5.50000","0.67485","35.98729","31.06174","0.00107"
"5.60000","0.68320","36.45285","31.46358","0.00108"
"5.70000","0.69156","37.09357","32.01661","0.00109"
"5.80000","0.69990","37.44415","32.31921","0.00110"
"5.90000","0.70829","37.95433","32.75956","0.00112"
"6.00000","0.71654","38.12966","32.91088","0.00113"
"6.10000","0.72484","38.90447","33.57965","0.00114"
"6.20000","0.73321","39.45912","34.05839","0.00116"
"6.30000","0.74146","40.15190","34.65635","0.00117"
"6.40000","0.74982","40.49155","34.94951","0.00118"
"6.50000","0.75824","40.95837","35.35244","0.00120"
"6.60000","0.76655","41.28903","35.63784","0.00121"
"6.70000","0.77493","41.97077","36.22627","0.00122"
"6.80000","0.78324","42.06971","36.31167","0.00124"
"6.90000","0.79150","42.73755","36.88810","0.00125"
"7.00000","0.79990","42.99186","37.10760","0.00126"
"7.10000","0.80819","43.69046","37.71059","0.00128"
"7.20000","0.81644","44.23763","38.18287","0.00129"
"7.30000","0.82487","44.89121","38.74699","0.00130"
"7.40000","0.83324","45.13928","38.96111","0.00132"
"7.50000","0.84159","45.64360","39.39640","0.00133"
"7.60000","0.84993","46.35617","40.01144","0.00134"
"7.70000","0.85820","46.84021","40.42923","0.00135"
"7.80000","0.86656","46.99683","40.56442","0.00137"
"7.90000","0.87488","47.28355","40.81190","0.00138"
"8.00000","0.88313","47.96115","41.39675","0.00139"
"8.10000","0.89150","48.49783","41.85998","0.00141"
"8.20000","0.89990","49.19016","42.45755","0.00142"
"8.30000","0.90822","49.47185","42.70068","0.00143"
"8.40000","0.91658","49.72461","42.91885","0.00145"
"8.50000","0.92492","50.40891","43.50949","0.00146"
"8.60000","0.93320","50.93389","43.96262","0.00147"
"8.70000","0.94153","51.47121","44.42640","0.00149"
"8.80000","0.94984","51.93401","44.82585","0.00150"
"8.90000","0.95818","52.47341","45.29142","0.00151"
"9.00000","0.96655","52.83470","45.60326","0.00153"
"9.10000","0.97489","53.42992","46.11702","0.00154"
"9.20000","0.98317","53.56563","46.23415","0.00155"
"9.30000","0.99157","54.30843","46.87529","0.00156"
"9.40000","0.99996","54.68838","47.20323","0.00158"
"9.50000","1.00819","55.38332","47.80305","0.00159"
"9.60000","1.01649","55.74826","48.11805","0.00160"
"9.70000","1.02486","56.21439","48.52038","0.00162"
"9.80000","1.03318","56.89532","49.10811","0.00163"
"9.90000","1.04155","57.11326","49.29622","0.00164"
"10.00000","1.04987","57.53094","49.65673","0.00166"
"10.10000","1.05821","57.88459","49.96198","0.00167"
"10.20000","1.06657","58.30680","50.32640","0.00168"
"10.30000","1.07488","58.94228","50.87490","0.00170"
"10.40000","1.08319","59.30341","51.18660","0.00171"
"10.50000","1.09153","60.14598","51.91386","0.00172"
"10.60000","1.09987","60.60765","52.31234","0.00174"
"10.70000","1.10819","61.02675","52.67408","0.00175"
"10.80000","1.11653","61.50105","53.08345","0.00176"
"10.90000","1.12490","62.02561","53.53622","0.00178"
"11.00000","1.13323","62.67265","54.09470","0.00179"
"11.10000","1.14154","62.91022","54.29976","0.00180"
"11.20000","1.14988","63.38370","54.70843","0.00181"
"11.30000","1.15821","63.72660","55.00440","0.00183"
"11.40000","1.16653","64.22598","55.43543","0.00184"
"11.50000","1.17481","64.65652","55.80704","0.00185"
"11.60000","1.18317","65.09491","56.18543","0.00187"
"11.70000","1.19157","65.97852","56.94810","0.00188"
"11.80000","1.19994","65.91770","56.89561","0.00189"
"11.90000","1.20822","66.77216","57.63311","0.00191"
"12.00000","1.21654","67.22916","58.02757","0.00192"
"12.10000","1.22488","67.57157","58.32311","0.00193"
"12.20000","1.23321","68.39214","59.03137","0.00195"
"12.30000","1.24151","68.52950","59.14993","0.00196"
"12.40000","1.24980","69.28992","59.80627","0.00197"
"12.50000","1.25821","69.44310","59.93849","0.00199"
"12.60000","1.26657","70.14307","60.54265","0.00200"
"12.70000","1.27490","70.54411","60.88881","0.00201"
"12.80000","1.28326","70.95994","61.24771","0.00203"
"12.90000","1.29155","71.51730","61.72879","0.00204"
"13.00000","1.29986","72.06837","62.20444","0.00205"
"13.10000","1.30815","72.64478","62.70195","0.00206"
"13.20000","1.31648","73.01038","63.01752","0.00208"
"13.30000","1.32484","73.32421","63.28839","0.00209"
"13.40000","1.33323","74.03742","63.90399","0.00210"
"13.50000","1.34150","74.74657","64.51608","0.00212"
"13.60000","1.34995","74.79052","64.55401","0.00213"
"13.70000","1.35833","75.38199","65.06452","0.00214"
"13.80000","1.36650","75.77177","65.40096","0.00216"
"13.90000","1.37486","76.30338","65.85980","0.00217"
"14.00000","1.38316","76.55852","66.08002","0.00218"
"14.10000","1.39147","77.23970","66.66798","0.00220"
"14.20000","1.39990","77.88106","67.22155","0.00221"
"14.30000","1.40818","78.38820","67.65928","0.00222"
"14.40000","1.41656","78.76575","67.98516","0.00224"
"14.50000","1.42498","79.51460","68.63151","0.00225"
"14.60000","1.43323","79.65296","68.75093","0.00226"
"14.70000","1.44155","79.94871","69.00620","0.00228"
"14.80000","1.44990","80.62011","69.58571","0.00229"
"14.90000","1.45812","81.16171","70.05318","0.00230"
"15.00000","1.46650","81.67319","70.49465","0.00231"
"15.10000","1.47489","82.15469","70.91025","0.00233"
"15.20000","1.48315","82.59409","71.28951","0.00234"
"15.30000","1.49161","83.10149","71.72747","0.00235"
"15.40000","1.49995","83.44916","72.02755","0.00237"
"15.50000","1.50818","83.89268","72.41037","0.00238"
"15.60000","1.51659","84.33308","72.79049","0.00239"
"15.70000","1.52491","84.90138","73.28101","0.00241"
"15.80000","1.53312","85.60828","73.89115","0.00242"
"15.90000","1.54149","85.81378","74.06853","0.00243"
"16.00000","1.54986","86.50266","74.66312","0.00245"
"16.10000","1.55824","86.81046","74.92879","0.00246"
"16.20000","1.56657","87.28685","75.33998","0.00247"
"16.30000","1.57490","87.61907","75.62673","0.00249"
"16.40000","1.58324","88.33405","76.24384","0.00250"
"16.50000","1.59156","88.67033","76.53410","0.00251"
"16.60000","1.59985","89.27934","77.05975","0.00252"
"16.70000","1.60814","89.63430","77.36613","0.00254"
"16.80000","1.61651","90.28674","77.92928","0.00255"
"16.90000","1.62488","90.61085","78.20902","0.00256"
"17.00000","1.63322","91.16582","78.68804","0.00258"
"17.10000","1.64158","91.65586","79.11101","0.00259"
"17.20000","1.64993","92.27930","79.64912","0.00260"
"17.30000","1.65823","92.46601","79.81027","0.00262"
"17.40000","1.66653","93.12405","80.37824","0.00263"
"17.50000","1.67486","93.71156","80.88535","0.00264"
"17.60000","1.68318","94.07688","81.20067","0.00266"
"17.70000","1.69153","94.38140","81.46351","0.00267"
"17.80000","1.69984","95.08967","82.07483","0.00268"
"17.90000","1.70820","95.41447","82.35518","0.00270"
"18.00000","1.71662","95.83362","82.71696","0.00271"
"18.10000","1.72491","96.31808","83.13512","0.00272"
"18.20000","1.73320","96.67354","83.44192","0.00274"
"18.30000","1.74152","97.15073","83.85380","0.00275"
"18.40000","1.74989","97.90585","84.50557","0.00276"
"18.50000","1.75820","98.07011","84.64734","0.00277"
"18.60000","1.76651","98.86450","85.33301","0.00279"
"18.70000","1.77484","99.37167","85.77077","0.00280"
"18.80000","1.78320","99.71619","86.06813","0.00281"
"18.90000","1.79160","100.52113","86.76290","0.00283"
"19.00000","1.79989","100.65136","86.87530","0.00284"
"19.10000","1.80821","101.06860","87.23544","0.00285"
"19.20000","1.81654","101.62513","87.71579","0.00287"
"19.30000","1.82486","102.30854","88.30566","0.00288"
"19.40000","1.83318","102.52935","88.49625","0.00289"
"19.50000","1.84155","102.95708","88.86543","0.00291"
"19.60000","1.84991","103.33778","89.19403","0.00292"
"19.70000","1.85822","103.79280","89.58678","0.00293"
"19.80000","1.86653","104.76338","90.42451","0.00295"
"19.90000","1.87489","105.32108","90.90588","0.00296"
"20.00000","1.88323","105.40129","90.97511","0.00297"
"20.10000","1.89149","106.20113","91.66547","0.00299"
